#NAME=latitude,longitude,absolute-altitude,heading
효자=37.754025,127.076902,30,0
경기도청북부청사=37.75059,127.071495,30,0
새말=37.748885,127.06362,30,0
동오=37.745271,127.056947,30,0
의정부중앙=37.743676,127.049565,30,0
흥선=37.743302,127.037023,30,0
의정부시청=37.739256,127.034781,30,0
경전철의정부=37.737202,127.043257,30,0
범골=37.728755,127.04353,30,0
회룡=37.725006,127.047073,30,0
발곡=37.727048,127.052803,30,0
전대.에버랜드=37.285342,127.219561,30,0
둔전=37.267051,127.21364,30,0
보평=37.258965,127.218457,30,0
고진=37.24484,127.214251,30,0
운동장.송담대=37.237845,127.209198,30,0
김량장=37.237247,127.198781,30,0
명지대=37.237964,127.190294,30,0
시청.용인대=37.239151,127.178406,30,0
삼가=37.242115,127.168075,30,0
초당=37.260752,127.159443,30,0
동백=37.269043,127.152716,30,0
어정=37.274917,127.143714,30,0
지석=37.269606,127.136515,30,0
강남대=37.270161,127.126033,30,0
기흥=37.275449,127.116665,30,0
관악산=37.4691018,126.9450639,30,0
서울대벤처타운=37.4720019,126.9339351,30,0
서원=37.4782341,126.9330365,30,0
신림=37.4849266,126.9296159,30,0
당곡=37.4902998,126.9275133,30,0
보라매병원=37.4929598,126.9234964,30,0
보라매공원=37.4955691,126.9180827,30,0
보라매=37.5002739,126.9204355,30,0
서울지방병무청=37.5060464,126.9227083,30,0
대방=37.5133059,126.9257265,30,0
샛강=37.5170969,126.929399,30,0
광교=37.30211,127.044483,30,0
광교중앙=37.288617,127.051478,30,0
상현=37.297664,127.069342,30,0
성복=37.313335,127.0801,30,0
수지구청=37.322702,127.095026,30,0
동천=37.337928,127.102976,30,0
미금=37.349982,127.108918,30,0
정자=37.367098,127.108403,30,0
판교=37.394761,127.112217,30,0
청계산입구=37.447211,127.055664,30,0
양재시민의숲=37.470023,127.03842,30,0
양재=37.483809,127.034653,30,0
강남=37.496837,127.028104,30,0
신논현=37.504598,127.02506,30,0
논현=37.511093,127.021415,30,0
신사=37.516334,127.020114,30,0
영종=37.51202,126.524254,30,0
인천공항2터미널=37.460699,126.441442,30,0
인천공항1터미널=37.447464,126.452508,30,0
공항화물청사=37.459041,126.477516,30,0
운서=37.492904,126.49379,30,0
청라국제도시=37.556409,126.624648,30,0
검암=37.569098,126.674007,30,0
계양=37.571662,126.7363,30,0
김포공항=37.561842,126.801904,30,0
마곡나루=37.565543,126.827378,30,0
디지털미디어시티=37.576958,126.898609,30,0
홍대입구=37.557438,126.926715,30,0
공덕=37.54253,126.952024,30,0
서울역=37.553247,126.969769,30,0
중앙보훈병원=37.529191,127.148739,30,0
둔촌오륜=37.519683,127.137989,30,0
올림픽공원=37.516269,127.130288,30,0
한성백제=37.516404,127.116503,30,0
송파나루=37.510372,127.112216,30,0
석촌=37.505208,127.10704,30,0
석촌고분=37.502558,127.097033,30,0
삼전=37.504738,127.088025,30,0
종합운동장=37.511426,127.076275,30,0
봉은사=37.514219,127.060245,30,0
삼성중앙=37.513011,127.053282,30,0
선정릉=37.510297,127.043999,30,0
언주=37.507287,127.033868,30,0
신논현=37.504598,127.02506,30,0
사평=37.504206,127.015259,30,0
고속터미널=37.50598,127.004403,30,0
신반포=37.503415,126.995925,30,0
구반포=37.501364,126.987332,30,0
동작=37.502878,126.978153,30,0
흑석=37.50877,126.963708,30,0
노들=37.512887,126.953222,30,0
노량진=37.513534,126.941005,30,0
샛강=37.517274,126.928422,30,0
여의도=37.52176,126.92403,30,0
국회의사당=37.528105,126.917874,30,0
당산=37.533406,126.902809,30,0
선유도=37.53802,126.893525,30,0
신목동=37.544277,126.88308,30,0
염창=37.546936,126.874916,30,0
등촌=37.550632,126.865689,30,0
증미=37.557402,126.861939,30,0
가양=37.561391,126.854456,30,0
양천향교=37.568381,126.841333,30,0
마곡나루=37.566778,126.82731,30,0
신방화=37.567532,126.816601,30,0
공항시장=37.563726,126.810678,30,0
김포공항=37.561916,126.802152,30,0
개화=37.578608,126.798153,30,0
석남=37.5062285,126.6762813,30,0
산곡=37.5086,126.7035277,30,0
부평구청=37.50848,126.72077,30,0
굴포천=37.50681,126.73234,30,0
삼산체육관=37.50724,126.74179,30,0
상동=37.505814,126.753163,30,0
부천시청=37.50444,126.76364,30,0
신중동=37.50282,126.77566,30,0
춘의=37.50365,126.78828,30,0
부천종합운동장=37.50502,126.79661,30,0
까치울=37.50613,126.81093,30,0
운연=37.440127,126.75997,30,0
인천대공원=37.448769,126.752618,30,0
남동구청=37.448161,126.736939,30,0
만수=37.454911,126.732094,30,0
모래내시장=37.45583,126.719298,30,0
석천사거리=37.456805,126.709986,30,0
인천시청=37.456833,126.701306,30,0
석바위시장=37.457611,126.692575,30,0
시민공원=37.458335,126.681192,30,0
주안=37.464992,126.679098,30,0
주안국가산단=37.473703,126.68113,30,0
가재울=37.484192,126.683673,30,0
인천가좌=37.4897,126.675208,30,0
서부여성회관=37.500168,126.675795,30,0
석남=37.506193,126.676203,30,0
가정중앙시장=37.517054,126.676672,30,0
가정=37.524649,126.675539,30,0
서구청=37.543742,126.676787,30,0
아시아드경기장=37.5517,126.677122,30,0
검바위=37.561405,126.677566,30,0
검암=37.56866,126.675687,30,0
독정=37.585212,126.675844,30,0
완정=37.592928,126.673203,30,0
마전=37.597566,126.666998,30,0
검단사거리=37.60185,126.657108,30,0
왕길=37.59518,126.642696,30,0
검단오류=37.594877,126.627178,30,0
송도달빛축제공원=37.407143,126.62597,30,0
국제업무지구=37.399907,126.630347,30,0
센트럴파크=37.393054,126.634729,30,0
인천대입구=37.386007,126.639484,30,0
지식정보단지=37.378384,126.645168,30,0
테크노파크=37.382268,126.656365,30,0
캠퍼스타운=37.387855,126.661673,30,0
동막=37.397878,126.674005,30,0
동춘=37.404737,126.681015,30,0
원인재=37.412333,126.687869,30,0
신연수=37.41804,126.693863,30,0
선학=37.426684,126.698863,30,0
문학경기장=37.434935,126.698579,30,0
인천터미널=37.442383,126.699706,30,0
예술회관=37.449396,126.701012,30,0
인천시청=37.457263,126.702143,30,0
간석오거리=37.467048,126.707938,30,0
부평삼거리=37.477679,126.710208,30,0
동수=37.485312,126.718247,30,0
부평=37.490535,126.723453,30,0
부평시장=37.498383,126.722244,30,0
부평구청=37.508407,126.720555,30,0
갈산=37.517268,126.721514,30,0
작전=37.530415,126.722527,30,0
경인교대입구=37.538157,126.722597,30,0
계산=37.543238,126.728128,30,0
임학=37.545059,126.738665,30,0
박촌=37.553703,126.745077,30,0
귤현=37.566379,126.742654,30,0
계양=37.571449,126.73578,30,0
남위례=37.4624,127.13977,30,0
모란=37.433824,127.129837,30,0
수진=37.437428,127.140722,30,0
신흥=37.440918,127.147564,30,0
단대오거리=37.44521,127.156866,30,0
남한산성입구=37.451535,127.159816,30,0
산성=37.457122,127.149908,30,0
복정=37.471052,127.126732,30,0
장지=37.478703,127.126191,30,0
문정=37.485855,127.1225,30,0
가락시장=37.492888,127.118398,30,0
송파=37.499703,127.112183,30,0
석촌=37.505557,127.106832,30,0
잠실=37.514692,127.104338,30,0
몽촌토성=37.517409,127.112359,30,0
강동구청=37.530341,127.120508,30,0
천호=37.538113,127.123254,30,0
암사=37.55021,127.127562,30,0
암사역사공원=37.55695,127.13702,30,0
장자호수공원=37.58738,127.13794,30,0
구리=37.60262,127.1407,30,0
동구릉=37.61105,127.13793,30,0
다산=37.62429,127.14973,30,0
별내=37.64232,127.1276,30,0
부평구청=37.507394,126.721599,30,0
굴포천=37.506997,126.73128,30,0
삼산체육관=37.506411,126.742153,30,0
상동=37.505781,126.753083,30,0
부천시청=37.504631,126.763538,30,0
신중동=37.503048,126.77596,30,0
춘의=37.503663,126.787036,30,0
부천종합운동장=37.50538,126.797337,30,0
까치울=37.506207,126.810939,30,0
온수=37.492092,126.823023,30,0
천왕=37.486637,126.838713,30,0
광명사거리=37.479252,126.854876,30,0
철산=37.47605,126.867911,30,0
가산디지털단지=37.480338,126.882656,30,0
남구로=37.486056,126.887249,30,0
대림=37.493013,126.897075,30,0
신풍=37.50008,126.90993,30,0
보라매=37.499872,126.920428,30,0
신대방삼거리=37.499701,126.928276,30,0
장승배기=37.504898,126.93915,30,0
상도=37.502834,126.94791,30,0
숭실대입구=37.496029,126.953822,30,0
남성=37.484596,126.971251,30,0
이수=37.485196,126.981605,30,0
내방=37.487618,126.993513,30,0
고속터미널=37.503367,127.005068,30,0
반포=37.508178,127.011727,30,0
논현=37.511093,127.021415,30,0
학동=37.514229,127.031656,30,0
강남구청=37.517179,127.041255,30,0
청담=37.519365,127.05335,30,0
뚝섬유원지=37.53154,127.066704,30,0
건대입구=37.540786,127.071011,30,0
어린이대공원=37.548014,127.074658,30,0
군자=37.556897,127.079338,30,0
중곡=37.565923,127.08432,30,0
용마산=37.573647,127.086727,30,0
사가정=37.580894,127.088478,30,0
면목=37.588579,127.087503,30,0
상봉=37.595577,127.085716,30,0
중화=37.602545,127.079264,30,0
먹골=37.610637,127.077725,30,0
태릉입구=37.618294,127.075397,30,0
공릉=37.625742,127.072896,30,0
하계=37.636352,127.06799,30,0
중계=37.644583,127.064303,30,0
노원=37.654836,127.060462,30,0
마들=37.66494,127.057675,30,0
수락산=37.67785,127.055315,30,0
도봉산=37.689241,127.046509,30,0
장암=37.700109,127.053196,30,0
신내=37.613174,127.102231,30,0
봉화산=37.617283,127.091401,30,0
화랑대=37.620064,127.084689,30,0
태릉입구=37.617338,127.074735,30,0
석계=37.614872,127.065595,30,0
돌곶이=37.610537,127.056431,30,0
상월곡=37.606377,127.048491,30,0
월곡=37.601948,127.041518,30,0
고려대=37.590508,127.036296,30,0
안암=37.586272,127.029005,30,0
보문=37.585274,127.019351,30,0
창신=37.579661,127.015241,30,0
동묘앞=37.572279,127.015653,30,0
신당=37.566154,127.016146,30,0
청구=37.560608,127.013986,30,0
약수=37.554263,127.010358,30,0
버티고개=37.548013,127.007055,30,0
한강진=37.539631,127.001725,30,0
이태원=37.534488,126.994302,30,0
녹사평=37.534675,126.986695,30,0
삼각지=37.535534,126.974032,30,0
효창공원앞=37.539233,126.961384,30,0
공덕=37.543555,126.951678,30,0
대흥=37.547771,126.942069,30,0
광흥창=37.547456,126.931993,30,0
상수=37.547716,126.922852,30,0
합정=37.549209,126.913366,30,0
망원=37.556094,126.910052,30,0
마포구청=37.563515,126.903343,30,0
월드컵경기장=37.569532,126.899298,30,0
디지털미디어시티=37.576108,126.901391,30,0
증산=37.583876,126.909645,30,0
새절=37.591148,126.913629,30,0
구산=37.611377,126.91727,30,0
연신내=37.618636,126.920625,30,0
독바위=37.618456,126.933031,30,0
불광=37.610873,126.92939,30,0
역촌=37.606021,126.922744,30,0
응암=37.598605,126.915577,30,0
하남시청=37.54205,127.20612,30,0
하남검단산=37.53972,127.22345,30,0
하남풍산=37.552034,127.203864,30,0
미사=37.560927,127.193877,30,0
강일=37.55749,127.17593,30,0
마천=37.49499,127.152781,30,0
거여=37.493105,127.14415,30,0
개롱=37.498079,127.13482,30,0
오금=37.502057,127.127938,30,0
방이=37.508857,127.126133,30,0
올림픽공원=37.516201,127.130923,30,0
둔촌동=37.527788,127.136248,30,0
상일동=37.556712,127.166417,30,0
고덕=37.555004,127.154151,30,0
명일=37.55137,127.143999,30,0
굽은다리=37.545477,127.142853,30,0
길동=37.537801,127.140004,30,0
강동=37.535804,127.132481,30,0
천호=37.53864,127.123308,30,0
광나루=37.545303,127.10357,30,0
아차산=37.551691,127.089761,30,0
군자=37.557088,127.079577,30,0
장한평=37.56144,127.064623,30,0
답십리=37.566747,127.052704,30,0
마장=37.5661,127.042973,30,0
왕십리=37.56184,127.037059,30,0
행당=37.557322,127.029476,30,0
신금호=37.554548,127.020331,30,0
청구=37.560276,127.013639,30,0
동대문역사문화공원=37.564665,127.005353,30,0
을지로4가=37.567352,126.998032,30,0
종로3가=37.57254,126.990305,30,0
광화문=37.571525,126.97717,30,0
서대문=37.565773,126.966641,30,0
충정로=37.560236,126.9629,30,0
애오개=37.553736,126.95682,30,0
공덕=37.544431,126.951372,30,0
마포=37.539574,126.945932,30,0
여의나루=37.527098,126.932901,30,0
여의도=37.521747,126.924357,30,0
신길=37.517623,126.914839,30,0
영등포시장=37.522669,126.905139,30,0
영등포구청=37.5242,126.89503,30,0
양평=37.525569,126.886129,30,0
오목교=37.524496,126.875181,30,0
목동=37.526065,126.864931,30,0
신정=37.524997,126.856191,30,0
까치산=37.531768,126.846683,30,0
화곡=37.541513,126.840461,30,0
우장산=37.548768,126.836318,30,0
발산=37.558598,126.837668,30,0
마곡=37.560183,126.825448,30,0
송정=37.561184,126.811973,30,0
김포공항=37.562384,126.801292,30,0
개화산=37.572399,126.806171,30,0
방화=37.577446,126.812741,30,0
부천종합운동장=37.505457,126.797289,30,0
원종=37.5239,126.8049,30,0
김포공항=37.5617,126.8041,30,0
대화=37.676087,126.747569,30,0
주엽=37.670072,126.761334,30,0
정발산=37.659477,126.773359,30,0
마두=37.652206,126.77762,30,0
백석=37.643114,126.78787,30,0
대곡=37.631626,126.811024,30,0
화정=37.634592,126.83265,30,0
원당=37.653324,126.843041,30,0
삼송=37.653083,126.895558,30,0
지축=37.648017,126.91397,30,0
원흥=37.650658,126.872642,30,0
연천=38.10073,127.07372,30,0
전곡=38.02458,127.0718,30,0
초성리=37.98172,127.06912,30,0
소요산=37.9481,127.061034,30,0
동두천=37.927878,127.05479,30,0
보산=37.913702,127.057277,30,0
동두천중앙=37.901885,127.056482,30,0
지행=37.892334,127.055716,30,0
덕정=37.843188,127.061277,30,0
덕계=37.818486,127.056486,30,0
양주=37.774381,127.044708,30,0
녹양=37.75938,127.042292,30,0
가능=37.748577,127.044213,30,0
의정부=37.738415,127.045958,30,0
회룡=37.724416,127.04736,30,0
망월사=37.709914,127.047455,30,0
도봉산=37.689534,127.046049,30,0
도봉=37.679563,127.045595,30,0
방학=37.667503,127.044273,30,0
인천=37.476403,126.617326,30,0
신포=37.46874,126.623853,30,0
숭의=37.460789,126.638297,30,0
인하대=37.448493,126.649619,30,0
송도=37.428514,126.657772,30,0
연수=37.417804,126.67894,30,0
원인재=37.413049,126.686648,30,0
남동인더스파크=37.407722,126.695216,30,0
호구포=37.401637,126.708627,30,0
인천논현=37.400614,126.722478,30,0
소래포구=37.40095,126.733522,30,0
월곶=37.391769,126.742699,30,0
달월=37.379681,126.745177,30,0
사리=37.28998,126.85685,30,0
야목=37.264179,126.879483,30,0
어천=37.250102,126.90879,30,0
오목천=37.24304,126.963676,30,0
고색=37.24963,126.980248,30,0
매교=37.265481,127.015678,30,0
수원시청=37.261911,127.030736,30,0
매탄권선=37.252759,127.040566,30,0
망포=37.245795,127.057353,30,0
영통=37.251568,127.071394,30,0
청명=37.259489,127.078934,30,0
상갈=37.26181,127.108847,30,0
기흥=37.275061,127.11591,30,0
신갈=37.286102,127.111313,30,0
구성=37.298969,127.105664,30,0
죽전=37.324753,127.107395,30,0
보정=37.312752,127.108196,30,0
이매=37.395371,127.128248,30,0
오리=37.339824,127.108942,30,0
미금=37.350077,127.10891,30,0
정자=37.365994,127.10807,30,0
수내=37.378455,127.114322,30,0
서현=37.385126,127.123592,30,0
야탑=37.411185,127.128715,30,0
모란=37.432052,127.129104,30,0
태평=37.440019,127.127709,30,0
가천대=37.448605,127.126697,30,0
선정릉=37.510735,127.043677,30,0
강남구청=37.517469,127.041151,30,0
압구정로데오=37.527381,127.040534,30,0
서울숲=37.543617,127.044707,30,0
수원=37.265917,126.999422,30,0
도화=37.46607,126.668672,30,0
중동=37.486562,126.764843,30,0
온수=37.492433,126.824086,30,0
도원=37.468446,126.642706,30,0
간석=37.464737,126.694181,30,0
부개=37.488418,126.74109,30,0
소사=37.482753,126.79544,30,0
구일=37.496756,126.870793,30,0
인천=37.476079,126.616801,30,0
동인천=37.475276,126.632802,30,0
제물포=37.466769,126.656666,30,0
주안=37.465047,126.679742,30,0
동암=37.471408,126.702896,30,0
백운=37.483664,126.707704,30,0
부평=37.489445,126.724506,30,0
송내=37.4876,126.753664,30,0
부천=37.48405,126.782686,30,0
역곡=37.485178,126.811502,30,0
오류동=37.494526,126.845365,30,0
개봉=37.494594,126.85968,30,0
수리산=37.349801,126.925365,30,0
오이도=37.362357,126.738714,30,0
정왕=37.351735,126.742989,30,0
신길온천=37.338212,126.765844,30,0
안산=37.327082,126.788532,30,0
초지=37.320646,126.805913,30,0
고잔=37.316784,126.823144,30,0
중앙=37.315941,126.838573,30,0
한대앞=37.309689,126.85344,30,0
상록수=37.302795,126.866489,30,0
반월=37.312212,126.903524,30,0
대야미=37.328467,126.917332,30,0
산본=37.358101,126.933274,30,0
광명=37.416182,126.884466,30,0
서동탄=37.195504,127.051672,30,0
당정=37.344285,126.948345,30,0
천안=36.810005,127.146826,30,0
두정=36.833705,127.14896,30,0
직산=36.870593,127.143904,30,0
성환=36.916076,127.126964,30,0
평택=36.990726,127.085159,30,0
지제=37.0188,127.070444,30,0
서정리=37.056496,127.052819,30,0
송탄=37.075696,127.054301,30,0
진위=37.109447,127.062278,30,0
오산=37.145885,127.06672,30,0
오산대=37.168953,127.063197,30,0
세마=37.187533,127.04318,30,0
병점=37.207503,127.032731,30,0
세류=37.245025,127.013222,30,0
독산=37.466613,126.889249,30,0
수원=37.266348,126.999561,30,0
화서=37.283862,126.989627,30,0
성균관대=37.300349,126.97075,30,0
의왕=37.320852,126.948217,30,0
군포=37.35356,126.948462,30,0
금정=37.372221,126.943429,30,0
명학=37.384653,126.935433,30,0
안양=37.401592,126.922874,30,0
관악=37.419232,126.908706,30,0
석수=37.435047,126.902295,30,0
금천구청=37.455626,126.89398,30,0
가산디지털단지=37.481581,126.882581,30,0
구로=37.503039,126.881966,30,0
성남=37.39468,127.11945,30,0
여주=37.282308,127.628816,30,0
세종대왕릉=37.295309,127.570938,30,0
부발=37.260192,127.490277,30,0
이천=37.265579,127.44226,30,0
신둔도예촌=37.317185,127.40476,30,0
곤지암=37.351315,127.34674,30,0
초월=37.374419,127.299,30,0
경기광주=37.399907,127.25263,30,0
삼동=37.409522,127.20336,30,0
이매=37.394655,127.127819,30,0
판교=37.394761,127.111217,30,0
금정=37.372209,126.943417,30,0
범계=37.389793,126.950806,30,0
평촌=37.394287,126.963883,30,0
인덕원=37.401553,126.976715,30,0
정부과천청사=37.426513,126.98978,30,0
과천=37.433021,126.996568,30,0
대공원=37.435675,127.006523,30,0
경마공원=37.443885,127.007888,30,0
선바위=37.451673,127.002303,30,0
신창=36.769502,126.951108,30,0
온양온천=36.780483,127.003249,30,0
배방=36.777629,127.052991,30,0
탕정=36.78866,127.08485,30,0
아산=36.792053,127.104361,30,0
쌍용=36.793759,127.1214,30,0
봉명=36.801215,127.135763,30,0
춘천=37.885054,127.717023,30,0
남춘천=37.864007,127.723792,30,0
김유정=37.818466,127.71434,30,0
강촌=37.805723,127.634146,30,0
백양리=37.830779,127.58933,30,0
굴봉산=37.832067,127.557695,30,0
가평=37.814536,127.510739,30,0
상천=37.770246,127.454821,30,0
청평=37.735488,127.42661,30,0
대성리=37.684071,127.379319,30,0
마석=37.652782,127.311767,30,0
천마산=37.658978,127.285379,30,0
평내호평=37.653225,127.244493,30,0
금곡=37.637382,127.207853,30,0
사릉=37.65108,127.176933,30,0
퇴계원=37.648311,127.143952,30,0
별내=37.64202,127.12684,30,0
갈매=37.634118,127.114757,30,0
신내=37.612887,127.103218,30,0
디지털미디어시티=37.577475,126.900453,30,0
홍대입구=37.557641,126.926683,30,0
공덕=37.542596,126.952099,30,0
서울역=37.557231,126.97103,30,0
운천=37.879942,126.769999,30,0
임진강=37.888421,126.746765,30,0
문산=37.854619,126.788047,30,0
파주=37.815298,126.792783,30,0
월롱=37.796188,126.792587,30,0
금촌=37.766217,126.774644,30,0
금릉=37.751322,126.765347,30,0
운정=37.725826,126.767257,30,0
야당=37.712327,126.761356,30,0
탄현=37.694023,126.761086,30,0
일산=37.682077,126.769846,30,0
풍산=37.672346,126.786243,30,0
백마=37.658239,126.794461,30,0
곡산=37.645676,126.801762,30,0
능곡=37.618808,126.820783,30,0
행신=37.612102,126.834146,30,0
강매=37.612314,126.843223,30,0
화전=37.602888,126.868387,30,0
수색=37.580842,126.895611,30,0
디지털미디어시티=37.577475,126.900453,30,0
가좌=37.568491,126.915487,30,0
홍대입구=37.557641,126.926683,30,0
서강대=37.551881,126.935711,30,0
공덕=37.542596,126.952099,30,0
효창공원앞=37.538579,126.96221,30,0
신촌=37.559733,126.942597,30,0
서울역=37.557231,126.97103,30,0
지평=37.476393,127.629874,30,0
용문=37.48223,127.594647,30,0
원덕=37.468672,127.547076,30,0
양평=37.492773,127.491837,30,0
오빈=37.506062,127.473868,30,0
아신=37.51382,127.443173,30,0
국수=37.516169,127.399367,30,0
신원=37.525545,127.372921,30,0
양수=37.545981,127.329098,30,0
운길산=37.554669,127.310115,30,0
